project,institute,model,experiment_id,frequency,modeling_realm,mip_table,ensemble_member,grid_label,variable,temporal subset,version,path
CMIP6,AS-RCEC,TaiESM1,histSST-piNTCF,NA,NA,AERmon,r1i1p1f1,gn,ps,185001-201412,v20200318,s3://esgf-world/CMIP6/AerChemMIP/AS-RCEC/TaiESM1/histSST-piNTCF/r1i1p1f1/AERmon/ps/gn/v20200318/ps_AERmon_TaiESM1_histSST-piNTCF_r1i1p1f1_gn_185001-201412.nc
CMIP6,AS-RCEC,TaiESM1,histSST-piNTCF,NA,NA,CFmon,r1i1p1f1,gn,ta,185001-201412,v20200318,s3://esgf-world/CMIP6/AerChemMIP/AS-RCEC/TaiESM1/histSST-piNTCF/r1i1p1f1/CFmon/ta/gn/v20200318/ta_CFmon_TaiESM1_histSST-piNTCF_r1i1p1f1_gn_185001-201412.nc
CMIP6,AS-RCEC,TaiESM1,histSST-piNTCF,NA,NA,Lmon,r1i1p1f1,gn,rh,185002-201412,v20200318,s3://esgf-world/CMIP6/AerChemMIP/AS-RCEC/TaiESM1/histSST-piNTCF/r1i1p1f1/Lmon/rh/gn/v20200318/rh_Lmon_TaiESM1_histSST-piNTCF_r1i1p1f1_gn_185002-201412.nc
CMIP6,AS-RCEC,TaiESM1,histSST,NA,NA,AERmon,r1i1p1f1,gn,ps,185001-201412,v20200310,s3://esgf-world/CMIP6/AerChemMIP/AS-RCEC/TaiESM1/histSST/r1i1p1f1/AERmon/ps/gn/v20200310/ps_AERmon_TaiESM1_histSST_r1i1p1f1_gn_185001-201412.nc
CMIP6,AS-RCEC,TaiESM1,histSST,NA,NA,CFmon,r1i1p1f1,gn,ta,185001-201412,v20200316,s3://esgf-world/CMIP6/AerChemMIP/AS-RCEC/TaiESM1/histSST/r1i1p1f1/CFmon/ta/gn/v20200316/ta_CFmon_TaiESM1_histSST_r1i1p1f1_gn_185001-201412.nc
CMIP6,AS-RCEC,TaiESM1,histSST,NA,NA,Lmon,r1i1p1f1,gn,rh,185002-201412,v20200317,s3://esgf-world/CMIP6/AerChemMIP/AS-RCEC/TaiESM1/histSST/r1i1p1f1/Lmon/rh/gn/v20200317/rh_Lmon_TaiESM1_histSST_r1i1p1f1_gn_185002-201412.nc
CMIP6,BCC,BCC-ESM1,hist-piNTCF,NA,NA,AERmon,r1i1p1f1,gn,ua,185001-201412,v20190718,s3://esgf-world/CMIP6/AerChemMIP/BCC/BCC-ESM1/hist-piNTCF/r1i1p1f1/AERmon/ua/gn/v20190718/ua_AERmon_BCC-ESM1_hist-piNTCF_r1i1p1f1_gn_185001-201412.nc
CMIP6,BCC,BCC-ESM1,hist-piNTCF,NA,NA,AERmon,r1i1p1f1,gn,va,185001-201412,v20190718,s3://esgf-world/CMIP6/AerChemMIP/BCC/BCC-ESM1/hist-piNTCF/r1i1p1f1/AERmon/va/gn/v20190718/va_AERmon_BCC-ESM1_hist-piNTCF_r1i1p1f1_gn_185001-201412.nc
CMIP6,BCC,BCC-ESM1,hist-piNTCF,NA,NA,AERmon,r1i1p1f1,gn,zg,185001-201412,v20190718,s3://esgf-world/CMIP6/AerChemMIP/BCC/BCC-ESM1/hist-piNTCF/r1i1p1f1/AERmon/zg/gn/v20190718/zg_AERmon_BCC-ESM1_hist-piNTCF_r1i1p1f1_gn_185001-201412.nc
CMIP6,BCC,BCC-ESM1,hist-piNTCF,mon,atmos,Amon,r1i1p1f1,gn,hus,185001-201412,v20190621,s3://esgf-world/CMIP6/AerChemMIP/BCC/BCC-ESM1/hist-piNTCF/r1i1p1f1/Amon/hus/gn/v20190621/hus_Amon_BCC-ESM1_hist-piNTCF_r1i1p1f1_gn_185001-201412.nc
